ID,Pitcher,PitcherThrows,PitcherTeam,RelSpeed,SpinRate,SpinAxis,InducedVertBreak,HorzBreak,RelHeight,RelSide,RetagPitchType
431,Pitcher A,Right,Team A,93.70523,2487.603033,244.332433,6.43284,11.3278,5.4851,1.41861,Sinker
432,Pitcher A,Right,Team A,83.13062,3099.511203,45.00031,-6.21504,-7.19536,5.47785,2.02296,Slider
433,Pitcher A,Right,Team A,93.52672,2699.229736,214.251872,8.85067,5.49335,5.50354,1.62603,Fastball
434,Pitcher A,Right,Team A,78.87095,3189.234049,55.337335,-9.54245,-15.61371,5.65151,1.53433,Curveball
435,Pitcher A,Right,Team A,83.81516,3002.490729,74.355489,-1.15728,-7.97556,5.45033,1.91591,Slider
436,Pitcher A,Right,Team A,79.1418,2937.799591,51.519512,-10.96989,-15.46505,5.69271,1.5475,Curveball
437,Pitcher A,Right,Team A,94.27027,2732.553243,203.541981,6.94985,2.67949,5.58569,1.58831,Fastball
438,Pitcher A,Right,Team A,82.53609,3131.572724,46.754824,-9.77323,-11.45528,5.48528,1.66894,Curveball
439,Pitcher A,Right,Team A,83.78456,3123.65373,72.005088,-1.89669,-9.38103,5.46883,1.99661,Slider
440,Pitcher A,Right,Team A,92.79395,2491.029724,206.897554,10.99162,5.04929,5.80468,1.6188,Fastball
441,Pitcher A,Right,Team A,93.4059,2491.458849,208.282298,10.44469,5.11382,5.66714,1.74271,Fastball
442,Pitcher A,Right,Team A,88.03623,1850.117382,255.822144,4.71374,13.77434,5.6301,1.67222,Changeup
443,Pitcher A,Right,Team A,94.17062,2623.076541,195.982232,13.57867,3.59811,5.65225,1.52565,Fastball
444,Pitcher A,Right,Team A,93.78228,2520.683848,207.463562,12.20367,5.84103,5.65584,1.61387,Fastball
445,Pitcher A,Right,Team A,83.99011,2968.812319,52.682834,-2.74335,-5.20469,5.61926,1.61675,Slider
446,Pitcher A,Right,Team A,77.59279,2889.794576,39.158336,-14.26123,-12.96107,5.88067,1.41853,Curveball
447,Pitcher A,Right,Team A,94.16563,2441.003343,250.229085,5.67051,12.46485,5.72747,1.31525,Sinker
448,Pitcher A,Right,Team A,93.83958,2530.774906,187.525576,10.31973,1.22858,5.7556,1.50071,Fastball
449,Pitcher A,Right,Team A,78.4841,2965.269059,58.862896,-7.11622,-14.25682,5.86106,1.54104,Curveball
450,Pitcher A,Right,Team A,82.89518,3007.800112,50.867865,-4.24575,-6.73158,5.70913,1.50478,Slider
451,Pitcher A,Right,Team A,94.44484,2567.325279,210.308737,6.39217,3.13288,5.81093,1.47448,Fastball
452,Pitcher A,Right,Team A,92.97091,2428.620697,233.48213,6.42693,7.27378,5.62671,1.88763,Fastball
453,Pitcher A,Right,Team A,94.02899,2581.91222,209.896471,11.16544,5.83583,5.57356,1.72905,Fastball
454,Pitcher A,Right,Team A,78.86079,2992.090287,44.858572,-8.8776,-10.27004,5.82285,1.85881,Curveball
